Range Query No.,Compacted,Skipped
1,0,74
2,2595,87
3,2667,164
4,0,206
5,0,316
6,3191,165
7,3362,285
8,0,141
9,3559,554
10,3847,299
11,4074,205
12,4197,303
13,4149,398
14,4590,206
15,4537,277
16,4915,581
17,5309,386
18,5544,524
19,5518,1040
20,5690,447
21,5793,656
22,5901,269
23,5869,51
24,6027,1187
25,0,98
26,6898,586
27,6879,416
28,7147,727
29,7231,787
30,0,275
31,7650,753
32,7598,1249
33,0,136
34,7903,1327
35,8383,486
36,8970,879
37,9128,1253
38,9588,1013
39,9588,542
40,9840,1161
41,9829,500
42,9951,2023
43,10609,869
44,10748,1295
45,10717,731
46,11195,1030
47,11442,941
48,11554,1140
49,11723,1784
50,11978,1094
51,12342,502
52,12301,1126
53,12391,1052
54,0,27
55,12660,1076
56,12826,945
57,12918,1367
58,13329,631
59,13786,844
60,13941,1125
61,14014,164
62,14296,255
63,0,99
64,14517,1456
65,14619,1259
66,14907,1437
67,15017,957
68,15172,635
69,15472,1486
70,15761,281
71,0,685
72,16679,1206
73,16753,1574
74,16931,1887
75,17862,1575
76,17986,899
77,18667,848
78,18643,312
79,18730,1995
80,0,283
81,19625,2253
82,20253,1632
83,20606,327
84,20697,3808
85,20981,1005
86,21119,1279
87,21303,2469
88,21493,659
89,21972,581
90,22175,2093
91,22442,965
92,22892,2085
93,23066,2049
94,23205,1135
95,0,207
96,23955,1265
97,24186,1401
98,24417,1013
99,24802,645
100,0,966
